"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 12 12:28:35 GMT 2025","Tue Aug 12 12:28:37 GMT 2025","1952","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"failed","Tue Aug 12 12:29:15 GMT 2025","Tue Aug 12 12:29:22 GMT 2025","6623","LMS system","Courses","Courses","","","Create course","
        Тест для проверки создания курса.
        Использует фикстуры create_course_page и courses_list_page.
        "
"passed","Tue Aug 12 12:27:48 GMT 2025","Tue Aug 12 12:27:50 GMT 2025","1372","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 12 12:27:51 GMT 2025","Tue Aug 12 12:27:53 GMT 2025","1741","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 12 12:28:25 GMT 2025","Tue Aug 12 12:28:27 GMT 2025","1460","LMS system","Authentication","Authorization","","","Navigation from login page to registration page","
        Тест навигации со страницы авторизации на страницу регистрации
        "
"passed","Wed Aug 13 14:53:14 GMT 2025","Wed Aug 13 14:53:16 GMT 2025","1708","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Tue Aug 12 12:29:55 GMT 2025","Tue Aug 12 12:30:26 GMT 2025","31256","LMS system","Courses","Courses","","","Edit course","
        Тест для проверки редактирования курса.
        E2E тест: создание курса → редактирование → проверка изменений.
        "
"passed","Tue Aug 12 12:27:57 GMT 2025","Tue Aug 12 12:27:59 GMT 2025","1773","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"failed","Tue Aug 12 12:28:54 GMT 2025","Tue Aug 12 12:29:00 GMT 2025","6606","LMS system","Courses","Courses","","","Check displaying of empty courses list","
        Тест для проверки пустого списка курсов.
        Использует фикстуру courses_list_page_with_state для работы с авторизованной сессией.
        "
"failed","Tue Aug 12 12:29:08 GMT 2025","Tue Aug 12 12:29:14 GMT 2025","6256","LMS system","Courses","Courses","","","Create course","
        Тест для проверки создания курса.
        Использует фикстуры create_course_page и courses_list_page.
        "
"failed","Wed Aug 13 14:53:16 GMT 2025","Wed Aug 13 14:53:23 GMT 2025","6894","LMS system","Authentication","Authorization","","","User login with correct email and password","
        E2E тест успешной авторизации:
        1. Регистрация нового пользователя
        2. Проверка Dashboard и выход из системы
        3. Авторизация с теми же данными
        4. Проверка повторного входа на Dashboard
        "
"failed","Wed Aug 13 14:53:27 GMT 2025","Wed Aug 13 14:53:33 GMT 2025","6078","LMS system","Courses","Courses","","","Create course","
        Тест для проверки создания курса.
        Использует фикстуры create_course_page и courses_list_page.
        "
"failed","Tue Aug 12 12:28:46 GMT 2025","Tue Aug 12 12:28:52 GMT 2025","6119","LMS system","Courses","Courses","","","Check displaying of empty courses list","
        Тест для проверки пустого списка курсов.
        Использует фикстуру courses_list_page_with_state для работы с авторизованной сессией.
        "
"passed","Wed Aug 13 14:53:14 GMT 2025","Wed Aug 13 14:53:16 GMT 2025","1688","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
