"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 12 12:28:32 GMT 2025","Tue Aug 12 12:28:34 GMT 2025","1555","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"failed","Tue Aug 12 12:29:15 GMT 2025","Tue Aug 12 12:29:22 GMT 2025","6623","LMS system","Courses","Courses","","","Create course","
        Тест для проверки создания курса.
        Использует фикстуры create_course_page и courses_list_page.
        "
"passed","Tue Aug 12 12:27:45 GMT 2025","Tue Aug 12 12:27:46 GMT 2025","1437","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"failed","Wed Aug 13 15:12:44 GMT 2025","Wed Aug 13 15:12:50 GMT 2025","6187","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 12 12:28:35 GMT 2025","Tue Aug 12 12:28:37 GMT 2025","1952","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Aug 13 15:12:26 GMT 2025","Wed Aug 13 15:12:32 GMT 2025","5768","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 12 12:27:51 GMT 2025","Tue Aug 12 12:27:53 GMT 2025","1741","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 13 15:12:35 GMT 2025","Wed Aug 13 15:12:36 GMT 2025","1463","LMS system","Authentication","Authorization","","","Navigation from login page to registration page","
        Тест навигации со страницы авторизации на страницу регистрации
        "
"passed","Wed Aug 13 15:12:26 GMT 2025","Wed Aug 13 15:12:28 GMT 2025","1345","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 12 12:27:54 GMT 2025","Tue Aug 12 12:27:56 GMT 2025","1947","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"failed","Tue Aug 12 12:28:46 GMT 2025","Tue Aug 12 12:28:52 GMT 2025","6119","LMS system","Courses","Courses","","","Check displaying of empty courses list","
        Тест для проверки пустого списка курсов.
        Использует фикстуру courses_list_page_with_state для работы с авторизованной сессией.
        "
"failed","Tue Aug 12 12:28:54 GMT 2025","Tue Aug 12 12:29:00 GMT 2025","6606","LMS system","Courses","Courses","","","Check displaying of empty courses list","
        Тест для проверки пустого списка курсов.
        Использует фикстуру courses_list_page_with_state для работы с авторизованной сессией.
        "
"passed","Wed Aug 13 15:12:32 GMT 2025","Wed Aug 13 15:12:34 GMT 2025","1184","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Wed Aug 13 15:12:43 GMT 2025","Wed Aug 13 15:13:14 GMT 2025","31193","LMS system","Courses","Courses","","","Edit course","
        Тест для проверки редактирования курса.
        E2E тест: создание курса → редактирование → проверка изменений.
        "
"passed","Wed Aug 13 15:12:34 GMT 2025","Wed Aug 13 15:12:35 GMT 2025","1519","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"failed","Tue Aug 12 12:31:15 GMT 2025","Tue Aug 12 12:31:22 GMT 2025","6705","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
