"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 12 12:28:07 GMT 2025","Tue Aug 12 12:28:13 GMT 2025","6710","LMS system","Authentication","Authorization","","","User login with correct email and password","
        E2E тест успешной авторизации:
        1. Регистрация нового пользователя
        2. Проверка Dashboard и выход из системы
        3. Авторизация с теми же данными
        4. Проверка повторного входа на Dashboard
        "
"passed","Tue Aug 12 12:27:42 GMT 2025","Tue Aug 12 12:27:44 GMT 2025","1581","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"failed","Tue Aug 12 12:27:59 GMT 2025","Tue Aug 12 12:28:06 GMT 2025","6765","LMS system","Authentication","Authorization","","","User login with correct email and password","
        E2E тест успешной авторизации:
        1. Регистрация нового пользователя
        2. Проверка Dashboard и выход из системы
        3. Авторизация с теми же данными
        4. Проверка повторного входа на Dashboard
        "
"passed","Tue Aug 12 12:28:35 GMT 2025","Tue Aug 12 12:28:37 GMT 2025","1952","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"failed","Tue Aug 12 12:29:15 GMT 2025","Tue Aug 12 12:29:22 GMT 2025","6623","LMS system","Courses","Courses","","","Create course","
        Тест для проверки создания курса.
        Использует фикстуры create_course_page и courses_list_page.
        "
"failed","Tue Aug 12 12:31:15 GMT 2025","Tue Aug 12 12:31:22 GMT 2025","6705","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"failed","Tue Aug 12 12:31:08 GMT 2025","Tue Aug 12 12:31:14 GMT 2025","6138","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 12 12:28:32 GMT 2025","Tue Aug 12 12:28:34 GMT 2025","1555","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Aug 12 12:28:25 GMT 2025","Tue Aug 12 12:28:27 GMT 2025","1460","LMS system","Authentication","Authorization","","","Navigation from login page to registration page","
        Тест навигации со страницы авторизации на страницу регистрации
        "
"passed","Tue Aug 12 12:28:28 GMT 2025","Tue Aug 12 12:28:30 GMT 2025","1865","LMS system","Authentication","Authorization","","","Navigation from login page to registration page","
        Тест навигации со страницы авторизации на страницу регистрации
        "
"passed","Tue Aug 12 12:28:30 GMT 2025","Tue Aug 12 12:28:32 GMT 2025","1957","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"failed","Tue Aug 12 12:31:00 GMT 2025","Tue Aug 12 12:31:07 GMT 2025","6568","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"failed","Tue Aug 12 12:28:15 GMT 2025","Tue Aug 12 12:28:22 GMT 2025","7158","LMS system","Authentication","Authorization","","","User login with correct email and password","
        E2E тест успешной авторизации:
        1. Регистрация нового пользователя
        2. Проверка Dashboard и выход из системы
        3. Авторизация с теми же данными
        4. Проверка повторного входа на Dashboard
        "
"passed","Tue Aug 12 12:27:54 GMT 2025","Tue Aug 12 12:27:56 GMT 2025","1947","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 12 12:27:51 GMT 2025","Tue Aug 12 12:27:53 GMT 2025","1741","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"failed","Tue Aug 12 12:29:01 GMT 2025","Tue Aug 12 12:29:08 GMT 2025","6493","LMS system","Courses","Courses","","","Create course","
        Тест для проверки создания курса.
        Использует фикстуры create_course_page и courses_list_page.
        "
"passed","Tue Aug 12 12:27:47 GMT 2025","Tue Aug 12 12:27:48 GMT 2025","1363","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 12 12:27:41 GMT 2025","Tue Aug 12 12:27:42 GMT 2025","1610","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 12 12:27:48 GMT 2025","Tue Aug 12 12:27:50 GMT 2025","1372","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 12 12:27:57 GMT 2025","Tue Aug 12 12:27:59 GMT 2025","1773","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
